game,series,model,acronyms,date of release,release order,produced,rarity,battery,description
Ball,Silver,AC-01,"ACrobat, ACtion","April 28, 1980",1,250 000,VR,2 x LR-43 (or SR-43),Your task is to control the hands of a juggler. Try to save the balls from falling down.
Flagman,Silver,FL-02,"FLag, FLagman","June 5, 1980",2,250 000,XR,2 x LR-43 (or SR-43),Simon type of game. You have to repeat the sequences of a flagman's moves.
Vermin,Silver,MT-03,"Mogura Tataki, Mole Tunnel","July 10, 1980",3,500 000,R,2 x LR-43 (or SR-43),Hit the moles as they surface from the tunnels.
Fire,Silver,RC-04,ResCue,"July 31, 1980",4,1 000 000,R,2 x LR-43 (or SR-43),You control two guys with a stretcher (which acts as a trampoline!) trying to save the people that fall from a burning building and put them in an ambulance.
Judge,Silver,IP-05,"ImPact, InterPret","October 4, 1980",5,250 000,XR,2 x LR-43 (or SR-43),Hit your opponent with a hammer or avoid his hit.  A purple version.
Manhole,Gold,MH-06,ManHole,"January 29, 1981",6,500 000,R,2 x LR-43 (or SR-43),Your task is to save passersby from falling into the four holes.
Helmet,Gold,CN-07,CoNstruction,"February 21, 1981",7,500 000,R,2 x LR-43 (or SR-43),Reach the shed while avoiding falling objects.
Lion,Gold,LN-08,LioN,"April 29, 1981",8,250 000,R,2 x LR-43 (or SR-43),You control two tamers who try to stop the lions from exiting their cages.
Parachute,Wide Screen,PR-21,PaRachute,"June 19, 1981",9,1 200 000,VC,2 x LR-43 (or SR-43),Save as many paratroopers as you can with your boat.
Octopus,Wide Screen,OC-22,OCtopus,"July 16, 1981",10,1 200 000,VC,2 x LR-43 (or SR-43),Get the treasure and avoid octopus' tentacles.
Popeye,Wide Screen,PP-23,PoPeye,"August 5, 1981",11,1 200 000,C,2 x LR-43 (or SR-43),You assume the role of Popeye who tries to catch the stuff Olive is throwing at him while avoiding Brutus' attempts to hit you.
Chef,Wide Screen,FP-24,"Food Panic, Frying Pan","September 8, 1981",12,500 000,R,2 x LR-43 (or SR-43),You control a chef with a pan who tosses up fish. Do not let them fall down.
Mickey Mouse,Wide Screen,MC-25,MiCkey,"October 9, 1981",13,1 200 000,C,2 x LR-43 (or SR-43),Mickey tries to catch the eggs before they fall on the ground.
Egg,Wide Screen,EG-26,EGg,"October 9, 1981",14,250 000,XR,2 x LR-43 (or SR-43),Same game play as Mickey Mouse. Only difference is that you control a wolf this time.
Fire,Wide Screen,FR-27,FiRe,"December 4, 1981",15,1 200 000,VC,2 x LR-43 (or SR-43),You control two guys with a stretcher (which acts as a trampoline!) trying to save the people that fall from a burning building and put them in an ambulance.
Turtle Bridge,Wide Screen,TL-28,"Turtle Line, TurtLe","February 1, 1982",16,500 000,R,2 x LR-43 (or SR-43),You control a porter who tries to get packages from one side of a lake to another by jumping on the turtles' shells.
Fire Attack,Wide Screen,ID-29,InDian,"March 26, 1982",17,500 000,C,2 x LR-43 (or SR-43),Hit the Indians or the torches they throw before they destroy your fortress.
Snoopy Tennis,Wide Screen,SP-30,SnooPy,"April 28, 1982",18,1 200 000,VC,2 x LR-43 (or SR-43),You are Snoopy holding a tennis racket. Hit all the tennis balls which are thrown at you.
Oil Panic,Multi Screen,OP-51,Oil Panic,"May 28, 1982",19,1 250 000,C,2 x LR-44 (or SR-44),Catch the oil drops from the pipe and pour them in your colleague's barrel on the lower level.
Donkey Kong,Multi Screen,DK-52,Donkey Kong,"June 3, 1982",20,1 250 000,VC,2 x LR-44 (or SR-44),Mario wants to free the princess once more. This time he has to jump over the barrels Donkey Kong is throwing at him and climb ladders to reach her.
Mickey & Donald,Multi Screen,DM-53,Donald & Mickey,"November 12, 1982",22,1 250 000,C,2 x LR-44 (or SR-44),You control both Mickey and Donald who work as fire fighters trying to extinguish the fire in a building.
Green House,Multi Screen,GH-54,Green House,"December 6, 1982",23,1 250 000,C,2 x LR-44 (or SR-44),Pests try to destroy your plants and as a green house keeper your job is to protect them by spraying with insecticide when they appear.
Donkey Kong II,Multi Screen,JR-55,"Junior Rescue, Donkey Kong JR.","March 7, 1983",24,1 250 000,VC,2 x LR-44 (or SR-44),Donkey Kong is restrained with chains. Help Donkey Kong Jr. unlock his locks while avoiding birds and electric current.
Mario Bros.,Multi Screen,MW-56,"Mario Wine, Mario W","March 14, 1983",25,1 250 000,VC,2 x LR-44 (or SR-44),You control Mario and his colleague Luigi who lay packets on rolling platforms. Your job is to pick the packets from the lower platforms and place them on the higher ones so that the packets end into the back of a truck.
Rain Shower,Multi Screen,LP-57,Laundry Panic,"August 10, 1983",30,250 000,VR,2 x LR-44 (or SR-44),You have just put your washed clothes to dry when it started raining. Your job (should you decide to accept it) is to drag the wires that the clothes are led on so that the clothes will not get wet.
Life Boat,Multi Screen,TC-58,TitaniC,"October 25, 1983",36,500 000,R,2 x LR-44 (or SR-44),Control two life boats in order to catch falling people out of a flaming boat cruiser.
Pinball,Multi Screen,PB-59,PinBall,"December 5, 1983",38,250 000,R,2 x LR-44 (or SR-44),"In the game two flippers are on the bottom screen and two flippers on the top screen. There are various other pinball objects such as bumpers, outlanes, rollover lanes, kickbacks, plunger, and more."
Black Jack,Multi Screen,BJ-60,Black Jack,"February 15, 1985",46,250 000,C,2 x LR-44 (or SR-44),Well known game of cards played at casinos. You try to reach a higher number than the house (if you get 21 you win). Betting game.
Squish,Multi Screen,MG-61,Maze Game,"April 17, 1986",48,250 000,VC,2 x LR-44 (or SR-44),Avoid the platforms as they come towards you. Direction of moving floor and pattern of platforms changes often.
